id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100,value101,value102,value103,value104,value105,value106,value107,value108,value109,value110,value111,value112,value113,value114,value115,value116,value117,value118,value119,value120,value121,value122,value123,value124,value125,value126,value127,value128,value129,value130,value131,value132,value133,value134,value135,value136,value137,value138,value139,value140,value141,value142,value143,value144,value145,value146,value147,value148,value149,value150,value151,value152,value153,value154,value155,value156,value157,value158,value159,value160,value161,value162,value163,value164,value165,value166,value167,value168,value169,value170,value171,value172,value173,value174,value175,value176,value177,value178,value179,value180,value181,value182,value183,value184,value185,value186,value187,value188,value189,value190,value191,value192,value193,value194,value195,value196,value197,value198,value199,value200,value201,value202,value203,value204,value205,value206,value207,value208,value209,value210,value211,value212,value213,value214,value215,value216,value217,value218,value219,value220,value221,value222,value223,value224,value225,value226,value227,value228,value229,value230,value231,value232,value233,value234,value235,value236,value237,value238,value239,value240,value241,value242,value243,value244,value245,value246,value247,value248,value249,value250,value251,value252,value253,value254,value255,value256,value257,value258,value259,value260,value261,value262,value263,value264,value265,value266,value267,value268,value269,value270,value271,value272,value273,value274,value275,value276,value277,value278,value279,value280,value281,value282,value283,value284,value285,value286,value287,value288,value289,value290,value291,value292,value293,value294,value295,value296,value297,value298,value299,value300,value301,value302,value303,value304,value305,value306,value307,value308,value309,value310,value311,value312,value313,value314,value315,value316,value317,value318,value319,value320,value321,value322,value323,value324,value325,value326,value327,value328,value329,value330,value331,value332,value333,value334,value335,value336,value337,value338,value339,value340,value341,value342,value343,value344,value345,value346,value347,value348,value349,value350,value351,value352,value353,value354,value355,value356,value357,value358,value359,value360,value361,value362,value363,value364,value365,value366,value367,value368,value369,value370,value371,value372,value373,value374,value375,value376,value377,value378,value379,value380,value381,value382,value383,reference
20,0,0,0,0,0.52752,0.664189,0,0,0,-0.25,0,0,0,0,0.555556,0.332063,0,0,0,0,0,0,0,0,0.724618,0.440647,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0.177668,0,0,-0.25,-0.25,-0.25,0,0,0,0.416204,0.648739,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.482625,0.748351,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.316116,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.026258,0.886915,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821765,0,0,0,0,0,0,0,0,0,0.852129,0,0,0,-0.25,0,0,0,0,0,0.778586,0,0,0,-0.25,0,0,0,0,0,0.947373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267559,0.925464,0.887941,0,0,-0.25,-0.25,0,0.107143,0.753841,0.897677,0.661342,0,0,-0.25,-0.25,-0.25,0,0.238095,0.897571,0.892621,0.513899,0,-0.25,-0.25,-0.25,-0.25,0,0.246883,0.943289,0.656468,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.389956,0.884394,0.177668,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.261307,0.583965,0,0,-0.25,-0.25,0,0,0,0,0.85115,0.951776,0,0,0,0,0,0,0,0,0.051028,0.789054,0.910022,0,0,0,0,0,0,0,0.696999,0.826578,0,0,0,-0.25,0,0,0.999342,0.999996,0.997363,0,0,-0.25,0,0,0.873258,0.999856,0.997489,0,0,0,0,0,0,0.999111,0.996877,0,0,0,0,0,0,0.977993,0.95398,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.981907,0.999509,0.880211,0,-0.25,-0.25,0,0,0.999469,0.999993,0.999044,0,0,0,0,0.998071,0.999904,0.999947,0.999718,0,0,0,0,0.999827,1,0.999987,0.999718,0,0,-0.25,0,0.999822,1,0.999946,0.999755,0,0,-0.25,0.989835,0.999789,0.999714,0.999965,0.999692,0,0,0,0.998266,0.999997,0.999991,0.999928,0.997633,0,0,0,0.981524,0.999179,0.998871,0.988709,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0.991762,0.999707,0.996708,0,0,-0.25,-0.25,0,0.998512,0.999881,0.999925,0.98937,0,0,0,0,0.997426,0.999805,0.999993,0.997901,0,0,0,0,0.999023,0.999958,0.999989,0.997777,0,0,-0.25,42.548406
21,0,0,0,0,0,0,0.91538,0,0,-0.25,0,0,0,0,0,0,0.239364,0,0,0,0,0,0,0,0,0.7875,0.519856,0,0,0,0,0,0,0,0,0.371212,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.466019,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.493997,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0.436694,0,0,-0.25,0,0,0,0,0,0.033198,0.135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893947,0,0,-0.25,0,0,0,0,0,0,0.876494,0,0,-0.25,0,0,0,0,0,0,0.879941,0,0,0,0,0,0,0,0,0,0.217054,0,0,0,0,0,0,0,0.106746,0.933501,0,0,0,-0.25,0.023952,0.618377,0.095465,0,0,0,0,-0.25,-0.25,-0.25,0.249351,0.172249,0.855253,0.841131,0,0,-0.25,-0.25,-0.25,-0.25,0.306306,0.296053,0.748466,0.931247,0,0,-0.25,-0.25,-0.25,-0.25,0.287081,0.566606,0.725021,0.413751,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.404288,0.916254,0,0,0,-0.25,0,0,0,0,0,0.786769,0,0,0,0,0,0,0,0,0,0,0.912464,0,0,0,0,0,0,0,0,0,0.903375,0,0,-0.25,0.999538,1,1,0.999967,0.999991,0.998287,0,-0.25,0.998867,0.999814,0.999772,0.999966,0.999958,0.990119,0,0,0.99791,0.96683,0,0.998099,0.999171,0,0,0,0.998598,0,0,0,0,0,-0.25,-0.25,0.998772,0,0,0.867995,0,-0.25,-0.25,-0.25,0.998473,0,0,0.999255,0.86851,0,-0.25,-0.25,0.998245,0,0,0.99952,0.999494,0.698392,0,0,0.998688,0,0.988483,0.999818,0.999998,0.997131,0,0,0.999568,0.991066,0.999751,0.99993,0.999995,0.998405,0,-0.25,1,0.999991,0.999996,0.999929,0.999989,0.998192,0,-0.25,0.999981,0.999973,0.999911,0.999994,0.999997,0.996772,0,0,0.999942,0.999992,0.999942,0.99999,0.999225,0,0,0,0.999981,0.999292,0.99911,0.996006,0,0,-0.25,-0.25,0.999341,0,0,0,0,-0.25,-0.25,-0.25,0.997983,0,0.993405,0.920276,0,0,-0.25,-0.25,0.997217,0.999402,0.999999,0.999883,0.998378,0,0,0,0.996202,0.9999,0.999909,0.999938,0.999983,0.996416,0,0,0.999252,0.999987,0.999987,0.999965,0.999957,0.998688,0,-0.25,48.829514
22,0,0,0,0.734694,0.955804,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.891089,0,0,0,-0.25,-0.25,0,0,0,0,0.915413,0,0,0,0,0,0,0,0,0.819428,0.904696,0.724275,0,0,0,0,0,0.086124,0.228571,0.811585,0.848091,0.903483,0,0,-0.25,-0.25,0.133333,0.089109,0,0,0,0,0,-0.25,-0.25,-0.25,0,0.269663,0.102894,0.482912,0.840985,0.975502,0.894556,-0.25,-0.25,-0.25,0,0,0,0.659979,0.564263,0.937267,0.180028,0,-0.25,-0.25,0.1875,0.5,0.43018,0.45156,0,0,0.50218,0,0,0,0,0,0,0.261506,0.904722,0.939517,0.927808,0,0,0,0,0,0,0,0.765819,0.924528,0,0,-0.25,-0.25,0,0,0,0,0.514286,0.913559,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.937351,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.956722,0.098765,0,-0.25,-0.25,0,0,0,0,0,0.987502,0,0,0,0,0,0,0,0,0,0.987045,0.814468,0,0,0,0,0,0,0,0,0.981422,0.907801,0,-0.25,-0.25,0,0,0,0,0.146939,0.985115,0.968259,-0.25,-0.25,-0.25,0,0,0,0,0.199262,0.98406,0.980455,-0.25,-0.25,-0.25,0,0,0,0,0,0.911821,0.96296,0,-0.25,-0.25,0,0,0,0,0,0.982016,0.808922,0,0,0,0,0,0,0,0.645602,0.989662,0,0,0,0,0,0,0,0,0.904523,0.983992,0,0,-0.25,-0.25,0,0,0.912781,0.93451,0.955102,0.935304,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890423,0,0,0,0,-0.25,0.995845,0.993329,0.999303,0.998229,0.911598,0,-0.25,-0.25,0.997821,0.995433,0.999418,0.995994,0.984894,0,0,-0.25,0.989437,0,0.955421,0.620309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0.977919,-0.25,-0.25,0,0,0,0,0,0.977653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964406,0.917595,0,-0.25,-0.25,12.045088
23,0,0,0,0,0,0,0.59846,0,-0.25,-0.25,0,0,0,0,0,0,0.859642,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.147296,0,0,0,0,0,0,0,0,0,0.44121,0,0,-0.25,0,0,0,0,0,0,0.208243,0,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0.890815,0,0,-0.25,0,0,0,0,0,0.574087,0,0,0,0,0,0,0,0,0.642636,0.803013,0,0,0,-0.25,0,0,0.779727,0.145773,0.690201,0,0,-0.25,-0.25,-0.25,0,0,0.872219,0.904841,0.848306,0,0,-0.25,-0.25,-0.25,0,0,0.718093,0.897928,0.886028,0,0,-0.25,-0.25,-0.25,0,0,0.781395,0.203636,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.737887,0,0,0,-0.25,0,0,0,0,0,0.737793,0.177679,0,0,0,0,0,0,0,0,0,0.672914,0,0,-0.25,0,0,0,0,0,0,0.817674,0.35767,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.936649,0.978572,0,0,0,0,0,0,0.851886,0.678939,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,56.231304
24,0,0,0,0,0.384342,0,0,0,0,-0.25,0,0,0,0,0.825244,0,0,0,0,0,0,0,0,0,0.704437,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.697504,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0.72644,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.025352,0,0,0,-0.25,-0.25,0,0,0,0,0.152542,0,0,0,0,0,0,0,0,0,0.586716,0,0,0,0,0,0,0,0,0,0.625285,0,0,0,0,-0.25,0,0,0,0,0.506311,0.582128,0,0,0,-0.25,0,0,0,0,0.62965,0.810425,0.937195,0,0,0,0,0,0,0,0.866135,0.679723,0,0,0,0,0,0,0,0.887821,0.848168,0.665109,0,0,-0.25,-0.25,0.07,0.2267,0.838663,0.811152,0,0,-0.25,-0.25,-0.25,-0.25,0.888889,0.835554,0.790006,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.925212,0.516667,0.810019,0.283375,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.59562,0.84913,0.891657,0.449326,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.657918,0.925462,0.025352,0.414615,0,0,-0.25,-0.25,0,0,0,0,0.816745,0.883232,0,0,0,0,0,0,0,0,0.655056,0.741517,0.934483,0,0,0,0,0,0,0,0.708277,0.67361,0.635677,0,0,-0.25,0.999338,0.999518,0.999993,0.999969,0.977478,0,0,0,0.999581,0.999907,0.999998,0.999871,0,0,0,0,0.998194,0.999791,1,0.999792,0,0,0,-0.25,0.998642,0.99841,0.999992,0.999089,0,-0.25,-0.25,-0.25,0.99901,0,0.999781,0.979529,0,-0.25,-0.25,-0.25,0.999144,0.996334,0.999986,0.999,0,-0.25,-0.25,-0.25,0.999032,0.999758,0.99998,0.999767,0,0,0,-0.25,0.999607,0.999869,0.999987,0.999819,0,0,0,0,0.999904,0.999885,1,0.999911,0.65851,0,0,0,0.999982,0.999935,0.999984,0.999999,0.996098,0,0,0,0.999959,0.999991,0.999962,0.999992,0.993746,0,0,0,0.999939,0.999997,0.999995,0.999373,0,0,0,-0.25,0.999588,0.999616,0.997814,0,0,-0.25,-0.25,-0.25,0.987342,0,0,0,0,-0.25,-0.25,-0.25,0.991843,0.950699,0.937537,0,0,-0.25,-0.25,-0.25,0.995585,0.999639,0.999901,0.99889,0,0,0,-0.25,0.997336,0.999838,1,0.999991,0.994503,0,0,0,0.999203,0.999879,1,0.999997,0.996975,0,0,0,36.240205
25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.600456,0,0,0,0,0,0.015679,0,0,0,0.701196,0,0,0,0,0,0,0,0,0.474308,0.86558,0,0,-0.25,-0.25,0,0,0,0,0.727448,0.255875,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.917565,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.881642,0,0,-0.25,-0.25,0,0,0,0,0,0.214325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27824,0,0,0,0,-0.25,0,0,0,0,0.028754,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0.393325,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782928,0,0,0,0,0,0,0,0,0.692732,0.54623,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.605741,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.55447,0.696175,0,0,-0.25,-0.25,0,0,0,0,0.706065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.106116,0,0,0,-0.25,-0.25,0,0,0.996517,0.999838,0.977881,0,0,-0.25,0,0,0,0.997399,0.998073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975715,0.793279,0,0,-0.25,0,0,0,0.999469,0.996859,0,-0.25,-0.25,0,0,0.993072,0.999952,0.999146,0,0,-0.25,0,0.938946,0.999731,0.999991,0.999404,0,0,0,0,0.999102,0.99999,0.999999,0.998388,0,0,0,0,0.999547,1,1,0.995937,0,0,-0.25,0,0.999317,1,0.999967,0.998952,0,0,-0.25,0,0.851761,0.999904,0.999919,0.999854,0.98658,0,0,0,0,0.999188,0.999929,0.999959,0.997704,0,0,0,0,0,0.992567,0.994124,0,0,-0.25,0,0.99809,0.999504,0.998025,0,0,-0.25,-0.25,0,0.999149,0.999555,0.999936,0.994756,0,0,-0.25,0,0.99901,0.999767,0.999909,0.96895,0,0,0,0,0.996861,0.999955,0.999711,0,0,0,0,0,0,0.999802,0.999602,0,0,0,-0.25,45.092179
26,0,0,0,0,0.650995,0.488778,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203735,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.476644,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.177305,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.072,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516129,0.399703,0,0,0,-0.25,0,0,0,0,0.625483,0.864759,0.587413,0.15619,0,-0.25,0,0,0,0,0.04878,0.891454,0.947581,0.417073,0,0,0,0,0,0,0.772118,0.934221,0.271082,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0.078603,0.017582,0,0,0,-0.25,-0.25,-0.25,-0.25,0.240535,0.460589,0.883666,0,0,0,-0.25,-0.25,-0.25,-0.25,0.358974,0.026906,0.884195,0.673019,0,0,-0.25,-0.25,-0.25,-0.25,0.164384,0.521411,0.806487,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.222472,0,0,0,-0.25,-0.25,0,0,0,0,0.855412,0.903737,0,0,0,0,0,0,0,0,0.04878,0.893325,0.91303,0.669735,0,0,0,0,0,0,0.458964,0.762675,0.439665,0.376635,0,-0.25,0.999195,0.999215,0.999998,1,0.995705,0,0,0,0.997748,0.999533,0.999974,0.999992,0.949048,0,0,0,0.983467,0.999547,0.999993,0.999923,0,0,0,-0.25,0,0.993304,0.999945,0.999439,0,-0.25,-0.25,-0.25,0,0,0.999733,0.996328,0,-0.25,-0.25,-0.25,0,0.994679,0.999979,0.999144,0,-0.25,-0.25,-0.25,0,0.999619,0.999933,0.999872,0,0,0,-0.25,0.997656,0.998242,0.999928,0.999993,0.968784,0,0,0,0.999917,0.999798,0.999964,0.999989,0.995876,0,0,0,0.999885,0.99992,0.999985,0.999996,0.99887,0,0,0,0.999971,0.999973,0.999987,1,0.998473,0,0,0,0.999983,1,1,0.999845,0.979467,0,0,-0.25,0.999975,0.999792,0.999013,0.953879,0,-0.25,-0.25,-0.25,0.997934,0,0,0,0,-0.25,-0.25,-0.25,0.996297,0.99649,0.993482,0,0,-0.25,-0.25,-0.25,0.987355,0.99963,0.999976,0.999545,0.875518,0,0,-0.25,0.997877,0.999882,0.999988,1,0.998499,0,0,0,0.999526,0.998517,1,0.999997,0.998865,0,0,0,38.027074
27,0.726356,0,0,0,0.964411,0.934452,0.94813,0,0,-0.25,0.554992,0,0,0,0.474692,0.187432,0,0,0,0,0.02346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0.167076,0,0,0,0,0,0,0,0,0,0.40404,0,0,0,0.078775,0,0,0,0,0,0.526508,0,0,0,0.971457,0.932709,0.947231,0,0,-0.25,0.614925,0.211911,0,0,0.719831,0.83432,0.896165,0,0,-0.25,0.526316,0.900625,0.921253,0.810086,0,0,0,0,0,0,0,0.150307,0.904196,0.73014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0.510856,0.662252,0,0,0,0,0,0,0.116402,0.743802,0.895618,0.929011,0,0,0,0,0,0,0.752632,0.397213,0.409479,0.454746,0.624212,0.828397,0.886374,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.672655
28,0,0,0,0,0,0.145114,0.840515,0,-0.25,-0.25,0,0,0,0,0,0,0.38143,0,0,-0.25,0,0,0,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.285007,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.685249,0,0,0,-0.25,0,0,0,0,0,0.858151,0,0,0,0,0,0,0,0,0,0.146123,0.540972,0,0,-0.25,0,0,0,0,0,0,0.206202,0,-0.25,-0.25,0,0,0,0,0,0.445165,0.113124,0,-0.25,-0.25,0,0,0,0,0,0.653878,0,0,0,-0.25,0,0,0,0,0,0.886042,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0.71,0.240602,0.704225,0.707541,0,0,-0.25,-0.25,-0.25,0.16476,0.906719,0.869495,0.895202,0,0,-0.25,-0.25,-0.25,-0.25,0,0.602599,0.771479,0.890501,0.474204,0,-0.25,-0.25,-0.25,-0.25,0,0,0.108527,0.736016,0.610679,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.28727,0,0,0,-0.25,0,0,0,0,0,0.882504,0.030978,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.379006,0.592717,0,-0.25,-0.25,0,0,0.992871,0.999869,0.999997,0.990288,0,-0.25,0,0,0,0.987661,0.999484,0.806737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0.99634,0.99944,0.997171,0,0,0,0,0.997667,0.999774,0.999992,0.999824,0,0,0,0.999694,0.999965,1,1,0.999994,0.993114,0,-0.25,0.999979,0.999994,0.999995,0.999975,0.999996,0.971633,0,-0.25,0.999982,0.99999,0.999952,0.999929,0.999807,0.510253,0,0,0.999989,0.999993,0.999973,0.999983,0.99788,0,0,0,0.999768,0.999307,0.999316,0.996875,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.998808,0.995577,0,0,-0.25,-0.25,0,0.998477,0.999972,0.999983,0.998431,0,0,0,0,0.999443,0.999984,0.999971,0.999923,0.675838,0,0,0,0.932166,0.999821,0.999984,0.999963,0.899481,0,-0.25,48.397535
29,0,0,0,0,0,0,0.822521,0,0,-0.25,0,0,0,0,0,0,0.58033,0,0,0,0,0,0,0,0,0,0.497916,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.343505,0.544136,0,0,0,0,0,0,0,0,0,0.435913,0,0,0,0,0,0,0,0,0,0.814759,0,0,-0.25,0,0,0,0,0,0,0.847418,0,0,-0.25,0,0,0,0,0,0,0.196061,0,0,0,0,0,0,0,0,0,0.909866,0,0,0,0,0,0,0,0.788991,0.029572,0,0,0,-0.25,0,0,0,0,0.671779,0,0,-0.25,-0.25,-0.25,0.453532,0,0.361652,0.912842,0.519615,0,-0.25,-0.25,-0.25,-0.25,0.461017,0,0.539933,0.930662,0.696483,0,-0.25,-0.25,-0.25,-0.25,0.010724,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.817185,0.593783,0,0,0,-0.25,0,0,0,0,0,0.083856,0.831575,0,0,0,0,0,0,0,0,0,0.774659,0,0,0,0,0,0,0,0,0,0.779399,0,0,-0.25,0,0,0,0,0.993184,0.998389,0,-0.25,0,0,0,0,0.997176,0.995541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.988421,0.967929,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.989738,0,-0.25,0,0,0,0.97952,0.999219,0.996799,0,0,0.998308,0.999867,0.999713,0.999592,0.996999,0,0,0,0,0.93906,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.964763,0.996461,0.956784,0,0,0,0,0,0,0.995139,0.998517,0,-0.25,52.549625
